# beta(deg),gamma(deg)
50.886,138.578
128.253,138.756
67.613,138.933
96.843,139.111
28.254,139.289
158.692,139.467
86.080,139.644
115.572,139.822
55.364,140.000
132.972,140.178
71.436,140.356
100.465,140.533
35.079,140.711
143.769,140.889
78.851,141.067
107.857,141.244
46.103,141.422
123.824,141.600
63.682,141.778
93.247,141.956
19.376,142.133
164.342,142.311
87.873,142.489
117.574,142.667
57.513,142.844
135.471,143.022
73.315,143.200
102.292,143.378
38.084,143.556
146.918,143.733
80.671,143.911
109.748,144.089
48.539,144.267
126.007,144.444
65.663,144.622
95.042,144.800
24.202,144.978
154.209,145.156
84.283,145.333
113.603,145.511
53.158,145.689
130.571,145.867
69.537,146.044
98.650,146.222
31.831,146.400
140.840,146.578
77.020,146.756
105.985,146.933
43.564,147.111
121.695,147.289
61.666,147.467
91.455,147.644
12.939,147.822
168.102,148.000
88.769,148.178
118.588,148.356
58.568,148.533
136.762,148.711
74.247,148.889
103.210,149.067
39.513,149.244
148.596,149.422
81.577,149.600
110.702,149.778
49.723,149.956
127.122,150.133
66.641,150.311
95.942,150.489
26.300,150.667
156.350,150.844
85.182,151.022
114.583,151.200
54.269,151.378
131.760,151.556
70.489,151.733
99.556,151.911
33.490,152.089
142.281,152.267
77.937,152.444
106.919,152.622
44.848,152.800
122.753,152.978
62.678,153.156
92.351,153.333
16.467,153.511
161.310,153.689
86.977,153.867
116.568,154.044
56.445,154.222
134.208,154.400
72.378,154.578
101.377,154.756
36.608,154.933
145.312,155.111
79.762,155.289
108.800,155.467
47.333,155.644
124.908,155.822
64.676,156.000
94.144,156.178
21.916,156.356
152.223,156.533
83.383,156.711
112.629,156.889
52.031,157.067
129.403,157.244
68.578,157.422
97.745,157.600
30.091,157.778
139.444,157.956
76.100,158.133
105.056,158.311
42.249,158.489
120.648,158.667
60.644,158.844
90.560,159.022
8.014,159.200
170.515,159.378
89.217,159.556
119.100,159.733
59.091,159.911
137.420,160.089
74.712,160.267
103.670,160.444
40.211,160.622
149.466,160.800
82.029,160.978
111.182,161.156
50.307,161.333
127.686,161.511
67.128,161.689
96.392,161.867
27.293,162.044
157.492,162.222
85.631,162.400
115.077,162.578
54.818,162.756
132.363,162.933
70.963,163.111
100.010,163.289
34.293,163.467
143.018,163.644
78.395,163.822
107.387,164.000
45.479,164.178
123.287,164.356
63.181,164.533
92.799,164.711
17.979,164.889
162.761,165.067
87.425,165.244
117.070,165.422
56.981,165.600
134.836,165.778
72.847,165.956
101.834,166.133
37.352,166.311
146.107,166.489
80.217,166.667
109.274,166.844
47.939,167.022
125.456,167.200
65.170,167.378
94.593,167.556
23.085,167.733
153.199,167.911
83.833,168.089
113.115,168.267
52.597,168.444
129.984,168.622
69.058,168.800
98.197,168.978
30.972,169.156
140.137,169.333
76.560,169.511
105.520,169.689
42.910,169.867
121.170,170.044
61.156,170.222
91.007,170.400
10.759,170.578
166.097,170.756
88.321,170.933
118.080,171.111
58.042,171.289
136.113,171.467
73.782,171.644
102.750,171.822
38.804,172.000
147.747,172.178
81.124,172.356
110.225,172.533
49.134,172.711
126.563,172.889
66.153,173.067
95.492,173.244
25.271,173.422
155.258,173.600
84.733,173.778
114.092,173.956
53.715,174.133
131.163,174.311
70.014,174.489
99.103,174.667
32.670,174.844
141.555,175.022
77.479,175.200
106.451,175.378
44.209,175.556
122.222,175.733
62.173,175.911
91.903,176.089
14.806,176.267
159.960,176.444
86.529,176.622
116.069,176.800
55.906,176.978
133.587,177.156
71.908,177.333
100.921,177.511
35.851,177.689
144.533,177.867
79.307,178.044
108.328,178.222
46.721,178.400
124.364,178.578
64.180,178.756
93.695,178.933
20.683,179.111
151.277,179.289
82.932,179.467
112.145,179.644
51.461,179.822
128.826,180.000
68.096,180.178
97.294,180.356
29.185,180.533
138.760,180.711
75.638,180.889
104.593,181.067
41.579,181.244
120.129,181.422
60.129,181.600
90.112,181.778
3.582,181.956
177.468,182.133
89.944,182.311
119.935,182.489
59.935,182.667
138.506,182.844
75.465,183.022
104.420,183.200
41.325,183.378
150.930,183.556
82.763,183.733
111.964,183.911
51.246,184.089
128.611,184.267
67.915,184.444
97.124,184.622
28.839,184.800
159.476,184.978
86.361,185.156
115.882,185.333
55.703,185.511
133.356,185.689
71.731,185.867
100.750,186.044
35.563,186.222
144.245,186.400
79.136,186.578
108.151,186.756
46.490,186.933
124.161,187.111
63.993,187.289
93.527,187.467
20.203,187.644
165.415,187.822
88.153,188.000
117.890,188.178
57.844,188.356
135.871,188.533
73.607,188.711
102.578,188.889
38.535,189.067
147.434,189.244
80.954,189.422
110.046,189.600
48.911,189.778
126.354,189.956
65.969,190.133
95.323,190.311
24.875,190.489
154.860,190.667
84.564,190.844
113.908,191.022
53.507,191.200
130.940,191.378
69.835,191.556
98.933,191.733
32.357,191.911
141.286,192.089
77.307,192.267
106.277,192.444
43.968,192.622
122.024,192.800
61.983,192.978
91.735,193.156
14.134,193.333
169.545,193.511
89.049,193.689
118.908,193.867
58.895,194.044
137.172,194.222
74.538,194.400
103.497,194.578
39.950,194.756
149.137,194.933
81.859,195.111
111.002,195.289
50.089,195.467
127.474,195.644
66.946,195.822
96.223,196.000
26.925,196.178
157.058,196.356
85.463,196.533
114.891,196.711
54.613,196.889
132.136,197.067
70.786,197.244
99.840,197.422
33.993,197.600
142.740,197.778
78.223,197.956
107.211,198.133
45.243,198.311
123.086,198.489
62.993,198.667
92.631,198.844
17.427,199.022
162.204,199.200
87.257,199.378
116.882,199.556
56.780,199.733
134.600,199.911
72.671,200.089
101.663,200.267
37.075,200.444
145.807,200.622
80.046,200.800
109.096,200.978
47.712,201.156
125.250,201.333
64.985,201.511
94.425,201.689
22.653,201.867
152.829,202.044
83.664,202.222
112.933,202.400
52.385,202.578
129.766,202.756
68.878,202.933
98.028,203.111
30.644,203.289
139.876,203.467
76.388,203.644
105.346,203.822
42.663,204.000
120.974,204.178
60.964,204.356
90.839,204.533
9.819,204.711
172.398,204.889
89.496,205.067
119.420,205.244
59.417,205.422
137.835,205.600
75.002,205.778
103.958,205.956
40.642,206.133
150.021,206.311
82.311,206.489
111.482,206.667
50.670,206.844
128.040,207.022
67.431,207.200
96.673,207.378
27.897,207.556
158.235,207.733
85.912,207.911
115.386,208.089
55.160,208.267
132.743,208.444
71.259,208.622
100.295,208.800
34.786,208.978
143.486,209.156
78.680,209.333
107.681,209.511
45.870,209.689
123.622,209.867
63.494,210.044
93.079,210.222
18.864,210.400
163.732,210.578
87.705,210.756
117.385,210.933
57.314,211.111
135.232,211.289
73.140,211.467
102.120,211.644
37.811,211.822
146.612,212.000
80.500,212.178
109.570,212.356
48.315,212.533
125.800,212.711
65.478,212.889
94.874,213.067
23.789,213.244
153.826,213.422
84.115,213.600
113.420,213.778
52.948,213.956
130.350,214.133
69.357,214.311
98.480,214.489
31.511,214.667
140.575,214.844
76.848,215.022
105.811,215.200
43.320,215.378
121.497,215.556
61.475,215.733
91.287,215.911
12.167,216.089
167.313,216.267
88.601,216.444
118.398,216.622
58.371,216.800
136.518,216.978
74.073,217.156
103.037,217.333
39.248,217.511
148.275,217.689
81.407,217.867
110.523,218.044
49.503,218.222
